transaction_id,client_id,date,heure,montant,devise,type_transaction,lieu,canal,moyen_paiement,categorie_commerce,device_utilise,score_risque_client,is_fraud
T000075,C9684,07/07/2025,16:16:09,7742.76,MAD,paiement en ligne,Casablanca,carte,Amex,santé,Web,9,0
T000076,C8208,07/07/2025,22:48:46,5203.71,EUR,paiement en ligne,,carte,MasterCard,alimentaire,ATM,9,0
T000077,C6276,07/07/2025,11:15:23,3513.55,EUR,paiement en ligne,Fès,application mobile,Amex,alimentaire,ATM,8,0
T000078,C3062,08/07/2025,18:07:30,3748.81,EUR,retrait,Tanger,application mobile,Cash,santé,Web,10,0
T000079,C1064,08/07/2025,20:16:22,63.47,USD,retrait,Marrakech,guichet,MasterCard,santé,iOS,3,1
T000080,C9006,08/07/2025,04:53:15,3033.02,MAD,paiement en ligne,Rabat,carte,Visa,voyage,Web,2,0
T000081,C3568,08/07/2025,05:07:24,6482.26,MAD,retrait,Casablanca,carte,Cash,électronique,iOS,5,0
T000082,C6463,08/07/2025,17:24:11,9743.23,MAD,virement,Rabat,guichet,MasterCard,mode,ATM,1,0
T000083,C3027,08/07/2025,14:58:25,8478.26,MAD,paiement en ligne,Casablanca,carte,Cash,alimentaire,Web,3,0
T000084,C3695,08/07/2025,08:44:25,284.77,MAD,virement,Casablanca,en ligne,MasterCard,mode,Android,1,0
T000085,C6258,08/07/2025,14:31:09,,MAD,paiement en ligne,Casablanca,en ligne,Cash,voyage,iOS,3,0
T000086,C6618,08/07/2025,15:06:16,7842.82,EUR,paiement en ligne,Rabat,en ligne,Cash,alimentaire,Android,4,0
T000087,C7736,08/07/2025,22:25:20,7814.74,USD,paiement en ligne,Marrakech,carte,MasterCard,voyage,iOS,7,0
T000088,C1391,09/07/2025,21:57:06,,MAD,paiement en ligne,Casablanca,en ligne,Visa,voyage,Web,5,0
T000089,C6892,09/07/2025,13:14:52,4010.15,MAD,paiement en ligne,Casablanca,en ligne,Visa,santé,Android,5,0
T000090,C4561,09/07/2025,06:08:50,3064.01,USD,paiement en ligne,Fès,guichet,Cash,mode,Web,1,0
T000091,C7184,09/07/2025,15:07:49,703.66,MAD,virement,Casablanca,guichet,Cash,mode,iOS,8,0
T000092,C4099,09/07/2025,22:28:17,2320.94,MAD,virement,Casablanca,application mobile,,santé,iOS,4,0
T000093,C7278,09/07/2025,19:38:34,2503.71,MAD,retrait,Casablanca,application mobile,Visa,mode,iOS,10,0
T000094,C9392,09/07/2025,17:58:41,4866.57,,paiement en ligne,Tanger,application mobile,Amex,santé,iOS,5,0
T000095,C4104,09/07/2025,06:16:13,7487.07,MAD,paiement en ligne,Tanger,application mobile,Visa,alimentaire,ATM,2,0
T000096,C8215,09/07/2025,02:43:44,4764.41,USD,paiement en ligne,Rabat,guichet,Cash,voyage,iOS,1,0
T000097,C3454,09/07/2025,01:02:36,625.55,MAD,retrait,Marrakech,guichet,MasterCard,voyage,Android,9,0
T000098,C9996,09/07/2025,10:39:25,9580.01,MAD,virement,Fès,guichet,Visa,mode,iOS,2,0
T000099,C3731,10/07/2025,22:22:43,9430.11,MAD,paiement en ligne,Marrakech,en ligne,Amex,électronique,Web,6,0
T000100,C9154,10/07/2025,06:14:55,7862.64,MAD,paiement en ligne,Marrakech,en ligne,Amex,voyage,ATM,1,0
T000101,C6056,10/07/2025,16:03:28,9913.71,,retrait,Fès,application mobile,Amex,santé,Android,1,1
T000102,C9110,10/07/2025,21:24:12,5467.6,EUR,paiement en ligne,Rabat,en ligne,,électronique,ATM,9,1
T000103,C4840,10/07/2025,17:32:15,9629.55,EUR,paiement en ligne,Casablanca,carte,,électronique,ATM,4,0
T000104,C2028,10/07/2025,12:41:43,802.27,MAD,retrait,Fès,guichet,,voyage,ATM,9,0
T000105,C8385,10/07/2025,01:54:34,3688.52,USD,retrait,Tanger,application mobile,Visa,voyage,Web,5,0
T000106,C1502,10/07/2025,09:33:29,2292.54,EUR,paiement en ligne,Fès,application mobile,MasterCard,voyage,ATM,7,0
T000107,C7910,10/07/2025,22:12:12,1998.54,EUR,paiement en ligne,Tanger,carte,MasterCard,santé,ATM,1,0
T000108,C7938,10/07/2025,17:31:31,1450.99,MAD,virement,,en ligne,Cash,électronique,iOS,6,0
T000109,C5488,10/07/2025,02:58:38,6243.02,MAD,paiement en ligne,Casablanca,application mobile,Amex,mode,Web,8,0
T000110,C1206,11/07/2025,13:51:28,7824.15,MAD,paiement en ligne,Marrakech,en ligne,Amex,santé,Android,1,0
T000111,C6134,11/07/2025,16:28:52,5804.07,EUR,paiement en ligne,Marrakech,en ligne,Visa,alimentaire,Android,9,0
T000112,C6977,11/07/2025,11:56:15,1512.28,MAD,paiement en ligne,,carte,MasterCard,voyage,Android,3,0
T000113,C8721,11/07/2025,11:46:56,8120.68,MAD,paiement en ligne,,application mobile,MasterCard,électronique,Web,1,0
T000114,C8035,11/07/2025,09:29:24,6377.75,EUR,virement,Marrakech,en ligne,Visa,santé,Android,1,0
T000115,C2484,11/07/2025,06:19:04,3912.25,,paiement en ligne,Casablanca,en ligne,Visa,alimentaire,Web,6,0
T000116,C8858,11/07/2025,00:29:48,,USD,paiement en ligne,Marrakech,carte,Cash,santé,iOS,6,0
T000117,C1863,11/07/2025,02:44:13,2636.05,MAD,retrait,Casablanca,carte,,santé,iOS,1,1
T000118,C3790,11/07/2025,17:03:17,3484.66,EUR,retrait,Marrakech,en ligne,Amex,mode,Web,3,0
T000119,C8408,11/07/2025,04:24:47,9178.98,MAD,virement,Tanger,carte,Amex,mode,Android,7,0
T000120,C9755,11/07/2025,00:52:45,2940.52,,virement,Rabat,en ligne,Cash,santé,Web,10,0
T000121,C6116,12/07/2025,14:08:14,4726.38,MAD,paiement en ligne,Fès,application mobile,Visa,alimentaire,Web,3,0
T000122,C7019,12/07/2025,16:56:23,8906.9,MAD,retrait,Rabat,guichet,Visa,électronique,ATM,3,0
T000123,C2757,12/07/2025,03:11:58,7091.83,MAD,paiement en ligne,Rabat,carte,Amex,électronique,Web,3,0
T000124,C8574,12/07/2025,04:36:42,,EUR,virement,Rabat,guichet,Amex,voyage,ATM,7,0
T000125,C7374,12/07/2025,05:38:55,1515.67,MAD,paiement en ligne,Marrakech,en ligne,Cash,voyage,iOS,4,0
T000126,C7892,12/07/2025,13:23:10,128.02,EUR,virement,Tanger,en ligne,MasterCard,électronique,ATM,4,0
T000127,C2678,12/07/2025,12:33:24,6327.67,MAD,retrait,Tanger,en ligne,MasterCard,santé,Web,3,0
T000128,C4242,12/07/2025,06:51:03,4504.35,MAD,paiement en ligne,Casablanca,guichet,Amex,santé,iOS,10,0
T000129,C5636,12/07/2025,07:19:28,1386.03,MAD,retrait,Tanger,en ligne,Cash,mode,ATM,9,0
T000130,C2059,12/07/2025,21:52:50,9581.44,MAD,virement,Marrakech,carte,Amex,mode,Web,2,0
T000131,C7668,12/07/2025,12:45:09,5320.11,MAD,virement,Rabat,application mobile,MasterCard,voyage,iOS,4,0
T000132,C4157,13/07/2025,10:33:56,2456.84,MAD,paiement en ligne,Casablanca,application mobile,Amex,électronique,ATM,8,0
T000133,C6915,13/07/2025,08:48:57,5031.01,MAD,retrait,Rabat,carte,MasterCard,santé,Web,6,0
T000134,C3693,13/07/2025,02:55:05,,MAD,paiement en ligne,Tanger,application mobile,MasterCard,électronique,Web,7,0
T000135,C4627,13/07/2025,04:04:53,808.58,MAD,paiement en ligne,Fès,guichet,MasterCard,alimentaire,Android,7,0
T000136,C6450,13/07/2025,14:22:48,2783.3,USD,paiement en ligne,Marrakech,en ligne,Visa,électronique,Android,2,0
T000137,C2663,13/07/2025,08:34:19,8079.31,MAD,paiement en ligne,Rabat,en ligne,Visa,alimentaire,ATM,4,0
T000138,C6592,13/07/2025,16:58:41,4623.67,EUR,virement,Marrakech,en ligne,Amex,mode,ATM,10,0
T000139,C8392,13/07/2025,02:49:17,,EUR,paiement en ligne,Casablanca,guichet,MasterCard,mode,ATM,10,0
T000140,C2306,13/07/2025,16:23:02,4356.52,,virement,Rabat,guichet,Visa,voyage,Web,6,0
T000141,C7776,13/07/2025,02:37:12,486.8,EUR,paiement en ligne,Fès,guichet,Amex,électronique,ATM,3,1
T000142,C6864,13/07/2025,14:24:08,1699.21,MAD,paiement en ligne,Casablanca,carte,Amex,électronique,Web,9,0
T000143,C8526,14/07/2025,03:13:36,4483.14,EUR,paiement en ligne,Tanger,guichet,Amex,alimentaire,ATM,4,0
T000144,C9901,14/07/2025,01:10:40,2131.4,EUR,paiement en ligne,Casablanca,application mobile,Amex,mode,Web,10,0
T000145,C6575,14/07/2025,02:58:27,547.29,MAD,paiement en ligne,Marrakech,carte,Amex,alimentaire,Web,2,0
T000146,C6530,14/07/2025,08:02:24,8444.31,MAD,paiement en ligne,Rabat,carte,Cash,mode,Android,6,0
T000147,C5413,14/07/2025,01:11:41,9812.87,MAD,retrait,Fès,carte,MasterCard,alimentaire,iOS,1,0
T000148,C4748,14/07/2025,08:14:39,7941.77,EUR,paiement en ligne,Casablanca,guichet,Amex,mode,Web,6,0
T000149,C1663,14/07/2025,04:10:58,8545.16,EUR,paiement en ligne,Casablanca,carte,Cash,alimentaire,ATM,10,0
T000150,C2998,14/07/2025,01:23:14,2457.67,MAD,paiement en ligne,Tanger,guichet,MasterCard,mode,Android,1,0
T000151,C8994,14/07/2025,05:07:58,9608.24,MAD,virement,Rabat,guichet,,alimentaire,ATM,8,0
T000152,C2495,14/07/2025,04:47:25,2009.41,MAD,virement,Tanger,carte,Amex,électronique,ATM,5,0
T000153,C4304,14/07/2025,17:05:36,9516.73,MAD,paiement en ligne,,en ligne,Cash,voyage,Web,6,0
T000154,C4763,15/07/2025,15:12:27,9948.45,USD,paiement en ligne,Casablanca,en ligne,Visa,alimentaire,Web,2,0
T000155,C6232,15/07/2025,04:12:16,7131.64,MAD,paiement en ligne,Rabat,carte,Cash,voyage,iOS,2,0
T000156,C2853,15/07/2025,17:39:44,9812.38,MAD,virement,Marrakech,en ligne,MasterCard,électronique,Web,9,0
T000157,C7585,15/07/2025,18:57:02,5716.92,MAD,paiement en ligne,,application mobile,MasterCard,électronique,Web,3,0
T000158,C2291,15/07/2025,07:33:39,2632.44,EUR,paiement en ligne,Tanger,application mobile,Visa,mode,iOS,6,0
T000159,C4581,15/07/2025,12:44:32,,MAD,paiement en ligne,Fès,guichet,Cash,voyage,ATM,10,0
T000160,C8554,15/07/2025,05:23:18,5955.93,EUR,paiement en ligne,Marrakech,en ligne,Amex,santé,iOS,5,1
T000161,C8280,15/07/2025,15:39:27,777.16,MAD,paiement en ligne,Casablanca,application mobile,Amex,mode,iOS,4,0
T000162,C2636,15/07/2025,00:58:58,6242.32,MAD,retrait,,carte,Visa,voyage,iOS,10,0
T000163,C4696,15/07/2025,15:40:12,,MAD,paiement en ligne,,en ligne,Visa,alimentaire,Android,2,0
T000164,C1698,16/07/2025,10:44:24,1941.57,,retrait,Casablanca,application mobile,Visa,alimentaire,ATM,8,0
T000165,C5737,16/07/2025,20:41:35,7936.32,MAD,paiement en ligne,Rabat,application mobile,Cash,électronique,Android,10,0
T000166,C1854,16/07/2025,05:06:04,9083.59,USD,paiement en ligne,Casablanca,carte,Amex,santé,Android,7,0
T000167,C9164,16/07/2025,10:44:57,9439.83,EUR,virement,Rabat,guichet,Amex,alimentaire,Web,2,0
T000168,C6855,16/07/2025,18:30:22,9603.35,USD,paiement en ligne,Tanger,carte,Amex,voyage,iOS,6,0
T000169,C8392,16/07/2025,09:09:31,5238.52,MAD,virement,Rabat,guichet,Visa,voyage,iOS,8,1
T000170,C7528,16/07/2025,10:52:29,9774.21,USD,retrait,Casablanca,application mobile,Amex,alimentaire,Android,7,0
T000171,C6249,16/07/2025,06:30:17,,MAD,paiement en ligne,Rabat,guichet,MasterCard,voyage,Web,1,0
T000172,C6172,16/07/2025,03:01:13,1658.63,MAD,virement,,application mobile,Visa,voyage,Web,5,0
T000173,C2707,16/07/2025,12:28:11,4795.16,MAD,paiement en ligne,Fès,application mobile,Amex,électronique,Web,2,1
T000174,C6791,16/07/2025,06:01:31,7197.4,MAD,virement,Rabat,en ligne,,santé,ATM,6,0
T000175,C6535,17/07/2025,12:45:26,2511.04,EUR,paiement en ligne,Casablanca,guichet,Visa,électronique,Android,7,0
T000176,C5931,17/07/2025,16:40:16,6424.12,MAD,virement,,guichet,MasterCard,santé,ATM,7,0
T000177,C4510,17/07/2025,07:30:33,6682.67,MAD,paiement en ligne,Tanger,guichet,MasterCard,voyage,Web,3,0
T000178,C1202,17/07/2025,12:34:47,1668.86,EUR,retrait,Rabat,carte,Cash,santé,Web,7,0
T000179,C5218,17/07/2025,05:18:29,5672.6,MAD,retrait,Casablanca,en ligne,Cash,voyage,Web,5,0
T000180,C9958,17/07/2025,06:09:40,7727.69,MAD,virement,Casablanca,en ligne,Visa,voyage,iOS,8,0
T000181,C5389,17/07/2025,01:27:14,5014.01,MAD,virement,Casablanca,en ligne,Visa,électronique,Android,8,0
T000182,C3327,17/07/2025,04:28:21,170.43,EUR,virement,Fès,carte,MasterCard,électronique,iOS,7,0
T000183,C9004,17/07/2025,03:19:31,139.93,EUR,virement,Tanger,guichet,Cash,mode,ATM,6,1
T000184,C3931,17/07/2025,03:49:03,3602.44,MAD,paiement en ligne,Fès,guichet,Visa,alimentaire,iOS,2,0
T000185,C8777,17/07/2025,16:11:21,9265.63,MAD,paiement en ligne,Tanger,guichet,MasterCard,mode,Android,6,0
T000186,C1197,18/07/2025,16:09:53,2325.33,MAD,paiement en ligne,Rabat,en ligne,Cash,mode,iOS,9,0
T000187,C8125,18/07/2025,00:21:25,6361.92,EUR,paiement en ligne,Marrakech,en ligne,MasterCard,santé,Web,2,0
T000188,C2930,18/07/2025,17:49:13,2259.65,MAD,paiement en ligne,Marrakech,application mobile,Amex,voyage,ATM,1,0
T000189,C7287,18/07/2025,14:28:11,3250.62,MAD,retrait,Casablanca,carte,Cash,voyage,ATM,5,0
T000190,C9800,18/07/2025,03:58:34,8488.02,MAD,paiement en ligne,Rabat,carte,Visa,voyage,Web,6,0
T000191,C5282,18/07/2025,19:11:06,7302.17,MAD,retrait,Fès,en ligne,Visa,alimentaire,Web,3,0
T000192,C3511,18/07/2025,10:32:05,999.22,MAD,paiement en ligne,Casablanca,application mobile,Amex,santé,Web,8,0
T000193,C1659,18/07/2025,14:14:31,4315.59,EUR,paiement en ligne,Rabat,guichet,Cash,santé,Android,7,0
T000194,C3811,18/07/2025,18:10:57,340.24,MAD,retrait,Fès,en ligne,MasterCard,voyage,iOS,2,0
T000195,C8098,18/07/2025,22:25:33,4834.86,MAD,retrait,,carte,Visa,mode,ATM,7,0
T000196,C7546,18/07/2025,13:33:28,6641.22,EUR,retrait,Fès,carte,Amex,alimentaire,iOS,1,0
T000197,C2986,19/07/2025,03:16:34,1229.1,EUR,retrait,Tanger,carte,Amex,mode,Web,9,0
T000198,C9338,19/07/2025,12:40:38,2924.41,MAD,paiement en ligne,Rabat,guichet,Cash,électronique,Web,7,0
T000199,C3911,19/07/2025,14:54:28,4008.47,MAD,retrait,Marrakech,carte,Cash,santé,iOS,6,0
T000200,C2734,19/07/2025,10:51:31,9199.33,,paiement en ligne,Fès,guichet,Visa,santé,ATM,2,0
T000201,C2843,19/07/2025,01:46:13,9932.89,USD,paiement en ligne,Tanger,guichet,Amex,mode,Android,3,0
T000202,C9680,19/07/2025,19:21:10,496.87,MAD,paiement en ligne,Rabat,guichet,MasterCard,alimentaire,iOS,1,0
T000203,C3976,19/07/2025,02:16:43,7622.03,USD,paiement en ligne,Fès,en ligne,,santé,Web,10,0
T000204,C2959,19/07/2025,20:46:15,3748.65,EUR,paiement en ligne,Fès,guichet,MasterCard,mode,Web,5,0
T000205,C6759,19/07/2025,04:58:19,3954.96,MAD,virement,Rabat,application mobile,MasterCard,alimentaire,Android,9,0
T000206,C7694,19/07/2025,05:18:56,7554.94,MAD,virement,Casablanca,carte,Visa,mode,iOS,6,0
T000207,C3385,19/07/2025,04:02:58,9188.34,MAD,paiement en ligne,Casablanca,en ligne,Amex,alimentaire,Android,5,0
T000208,C5736,20/07/2025,00:57:37,9511.74,MAD,paiement en ligne,Casablanca,carte,MasterCard,voyage,Android,3,0
T000209,C2802,20/07/2025,14:33:34,5792.37,MAD,paiement en ligne,Tanger,guichet,Cash,alimentaire,ATM,5,1
T000210,C9155,20/07/2025,16:24:23,3603.36,EUR,paiement en ligne,Casablanca,en ligne,MasterCard,électronique,ATM,8,0
T000211,C9120,20/07/2025,11:17:14,7886.11,USD,virement,Casablanca,application mobile,Cash,voyage,Web,2,1
T000212,C7616,20/07/2025,11:15:26,2547.46,MAD,paiement en ligne,Marrakech,guichet,Cash,mode,iOS,5,0
T000213,C6534,20/07/2025,07:45:24,5662.54,EUR,retrait,Rabat,carte,Amex,voyage,ATM,6,0
T000214,C5061,20/07/2025,16:28:52,3617.86,MAD,paiement en ligne,Fès,application mobile,Cash,voyage,Web,10,0
T000215,C1262,20/07/2025,07:14:26,6583.48,MAD,virement,Casablanca,guichet,MasterCard,mode,iOS,8,0
T000216,C7287,20/07/2025,13:49:51,2441.97,MAD,paiement en ligne,,application mobile,Cash,mode,Web,8,0
T000217,C9815,20/07/2025,06:02:28,1956.35,EUR,retrait,Tanger,guichet,Amex,électronique,ATM,5,0
T000218,C3049,20/07/2025,11:52:23,9186.48,USD,paiement en ligne,Tanger,en ligne,Visa,mode,Web,9,0
T000219,C6423,21/07/2025,02:19:45,1062.95,EUR,retrait,Rabat,guichet,MasterCard,santé,iOS,4,0
T000220,C5548,21/07/2025,14:24:29,5084.28,MAD,paiement en ligne,Marrakech,en ligne,MasterCard,santé,iOS,9,0
T000221,C4108,21/07/2025,13:06:16,2247.49,MAD,paiement en ligne,Casablanca,guichet,Amex,électronique,Web,7,0
T000222,C8158,21/07/2025,11:19:35,437.35,MAD,virement,Casablanca,guichet,Amex,alimentaire,iOS,6,0
T000223,C8400,21/07/2025,08:37:47,408.39,MAD,virement,Casablanca,carte,Amex,alimentaire,Web,4,0
T000224,C4170,21/07/2025,21:53:52,1793.46,EUR,virement,Fès,application mobile,Amex,santé,iOS,2,0
T000225,C3255,21/07/2025,20:01:23,8674.37,EUR,retrait,Fès,application mobile,MasterCard,mode,Web,8,0
T000226,C2154,21/07/2025,07:10:12,2860.66,EUR,virement,Fès,application mobile,Visa,électronique,Web,6,0
T000227,C5499,21/07/2025,16:07:20,9507.07,MAD,paiement en ligne,Casablanca,guichet,Cash,alimentaire,Web,3,0
T000228,C7295,21/07/2025,17:29:17,5837.14,MAD,paiement en ligne,Rabat,guichet,Cash,alimentaire,Android,7,0
T000229,C7197,21/07/2025,13:46:30,4394.31,MAD,paiement en ligne,Marrakech,guichet,Visa,voyage,iOS,10,0
